"pie","eng","see-also","pie-keywords","eng-keywords","pie-metaphone","eng-metaphone"
"aksī","<b>axe</b>","[]","[""aksi"", ""aks\u012b""]","[""axe""]","[""AKS""]","[""AKS""]"
"agu̯h-no-s","lamb","[]","[""aguuh"", ""aguuh-no-"", ""agu\u032fh"", ""agu\u032fh-no-"", ""no""]","[""lamb""]","[""AK"", ""AKN"", ""AKNS"", ""N""]","[""LMP""]"
"agu̯h-no-s","lamb","[]","[""aguuh"", ""aguuh-no-"", ""agu\u032fh"", ""agu\u032fh-no-"", ""no""]","[""lamb""]","[""AK"", ""AKN"", ""AKNS"", ""N""]","[""LMP""]"
"ai","(an exclamation)","[""aik-""]","[""ai"", ""aik"", ""aik-""]","[""an"", ""exclam""]","[""A"", ""AK"", ""AKK""]","[""AKSLM"", ""AN""]"
"ai","(an exclamation)","[""aik-""]","[""ai"", ""aik"", ""aik-""]","[""an"", ""exclam""]","[""A"", ""AK"", ""AKK""]","[""AKSLM"", ""AN""]"
"ai-","to drive, close in; harm, overwhelm","[]","[""ai"", ""ai-""]","[""close"", ""drive"", ""harm"", ""in"", ""overwhelm"", ""to""]","[""A""]","[""AFRLM"", ""AN"", ""HRM"", ""KLS"", ""T"", ""TRF""]"
"ai-","to drive, close in; harm, overwhelm","[]","[""ai"", ""ai-""]","[""close"", ""drive"", ""harm"", ""in"", ""overwhelm"", ""to""]","[""A""]","[""AFRLM"", ""AN"", ""HRM"", ""KLS"", ""T"", ""TRF""]"
"ai-","to give","[]","[""ai"", ""ai-""]","[""give"", ""to""]","[""A""]","[""JF"", ""KF"", ""T""]"
"ai-","to give","[]","[""ai"", ""ai-""]","[""give"", ""to""]","[""A""]","[""JF"", ""KF"", ""T""]"
"ai-ti-","part, portion","[]","[""ai"", ""ai-ti-"", ""ti""]","[""part"", ""portion""]","[""A"", ""AT"", ""T""]","[""PRT"", ""PRXN""]"
"ai-ti-","part, portion","[]","[""ai"", ""ai-ti-"", ""ti""]","[""part"", ""portion""]","[""A"", ""AT"", ""T""]","[""PRT"", ""PRXN""]"
"ai-to-","part, portion","[]","[""ai"", ""ai-to-"", ""to""]","[""part"", ""portion""]","[""A"", ""AT"", ""T""]","[""PRT"", ""PRXN""]"
"ai-to-","part, portion","[]","[""ai"", ""ai-to-"", ""to""]","[""part"", ""portion""]","[""A"", ""AT"", ""T""]","[""PRT"", ""PRXN""]"
"oi-to-","part, portion","[]","[""oi"", ""oi-to-"", ""to""]","[""part"", ""portion""]","[""A"", ""AT"", ""T""]","[""PRT"", ""PRXN""]"
"oi-to-","part, portion","[]","[""oi"", ""oi-to-"", ""to""]","[""part"", ""portion""]","[""A"", ""AT"", ""T""]","[""PRT"", ""PRXN""]"
"ā̆i-","to burn, shine","[""ai-dh-""]","[""aai"", ""aai-"", ""\u0101\u0306i"", ""\u0101\u0306i-"", ""ai"", ""ai-dh-"", ""dh""]","[""burn"", ""shine"", ""to""]","[""A"", ""AT"", ""T""]","[""PRN"", ""T"", ""XN""]"
"ā̆i-","to burn, shine","[""ai-dh-""]","[""aai"", ""aai-"", ""\u0101\u0306i"", ""\u0101\u0306i-"", ""ai"", ""ai-dh-"", ""dh""]","[""burn"", ""shine"", ""to""]","[""A"", ""AT"", ""T""]","[""PRN"", ""T"", ""XN""]"
"ai-","<b>oath</b>, significant speech","[]","[""ai"", ""ai-""]","[""oath"", ""signific"", ""speech""]","[""A""]","[""A0"", ""AT"", ""SKNFK"", ""SNFK"", ""SPK"", ""SPX""]"
"ai-","<b>oath</b>, significant speech","[]","[""ai"", ""ai-""]","[""oath"", ""signific"", ""speech""]","[""A""]","[""A0"", ""AT"", ""SKNFK"", ""SNFK"", ""SPK"", ""SPX""]"
"oi-","<b>oath</b>, significant speech","[]","[""oi"", ""oi-""]","[""oath"", ""signific"", ""speech""]","[""A""]","[""A0"", ""AT"", ""SKNFK"", ""SNFK"", ""SPK"", ""SPX""]"
"oi-","<b>oath</b>, significant speech","[]","[""oi"", ""oi-""]","[""oath"", ""signific"", ""speech""]","[""A""]","[""A0"", ""AT"", ""SKNFK"", ""SNFK"", ""SPK"", ""SPX""]"
"aid-","to swell; strong","[""oid-""]","[""aid"", ""aid-"", ""oid"", ""oid-""]","[""strong"", ""swell"", ""to""]","[""AT"", ""ATT""]","[""SL"", ""STRNK"", ""T"", ""XL""]"
"aid-","to swell; strong","[""oid-""]","[""aid"", ""aid-"", ""oid"", ""oid-""]","[""strong"", ""swell"", ""to""]","[""AT"", ""ATT""]","[""SL"", ""STRNK"", ""T"", ""XL""]"
"ai-dh-","to burn, shine","[""\u0101\u0306ier-""]","[""ai"", ""ai-dh-"", ""dh"", ""aaier"", ""aaier-"", ""\u0101\u0306ier"", ""\u0101\u0306ier-""]","[""burn"", ""shine"", ""to""]","[""A"", ""AANNT"", ""AAT"", ""AR"", ""ARR"", ""AT"", ""T""]","[""PRN"", ""T"", ""XN""]"
"ai-dh-","to burn, shine","[""\u0101\u0306ier-""]","[""ai"", ""ai-dh-"", ""dh"", ""aaier"", ""aaier-"", ""\u0101\u0306ier"", ""\u0101\u0306ier-""]","[""burn"", ""shine"", ""to""]","[""A"", ""AANNT"", ""AAT"", ""AR"", ""ARR"", ""AT"", ""T""]","[""PRN"", ""T"", ""XN""]"
"i-dh-","to burn, shine","[""\u0101\u0306ier-""]","[""dh"", ""i-dh-"", ""aaier"", ""aaier-"", ""\u0101\u0306ier"", ""\u0101\u0306ier-""]","[""burn"", ""shine"", ""to""]","[""A"", ""AANNT"", ""AAT"", ""AR"", ""ARR"", ""AT"", ""T""]","[""PRN"", ""T"", ""XN""]"
"i-dh-","to burn, shine","[""\u0101\u0306ier-""]","[""dh"", ""i-dh-"", ""aaier"", ""aaier-"", ""\u0101\u0306ier"", ""\u0101\u0306ier-""]","[""burn"", ""shine"", ""to""]","[""A"", ""AANNT"", ""AAT"", ""AR"", ""ARR"", ""AT"", ""T""]","[""PRN"", ""T"", ""XN""]"
"i-n-dh-","to burn, shine","[""\u0101\u0306ier-""]","[""dh"", ""i-n-dh-"", ""aaier"", ""aaier-"", ""\u0101\u0306ier"", ""\u0101\u0306ier-""]","[""burn"", ""shine"", ""to""]","[""A"", ""AANNT"", ""AAT"", ""AR"", ""ARR"", ""AT"", ""T""]","[""PRN"", ""T"", ""XN""]"
"i-n-dh-","to burn, shine","[""\u0101\u0306ier-""]","[""dh"", ""i-n-dh-"", ""aaier"", ""aaier-"", ""\u0101\u0306ier"", ""\u0101\u0306ier-""]","[""burn"", ""shine"", ""to""]","[""A"", ""AANNT"", ""AAT"", ""AR"", ""ARR"", ""AT"", ""T""]","[""PRN"", ""T"", ""XN""]"
"ā̆ier-","day(light), morning","[""ai\u032fos-""]","[""aaier"", ""aaier-"", ""\u0101\u0306ier"", ""\u0101\u0306ier-"", ""aiuo"", ""aiuos-"", ""ai\u032fo"", ""ai\u032fos-""]","[""daylight"", ""morn""]","[""A"", ""ANN"", ""AR"", ""ARR"", ""ASS""]","[""MRN"", ""TLT""]"
"ā̆ier-","day(light), morning","[""ai\u032fos-""]","[""aaier"", ""aaier-"", ""\u0101\u0306ier"", ""\u0101\u0306ier-"", ""aiuo"", ""aiuos-"", ""ai\u032fo"", ""ai\u032fos-""]","[""daylight"", ""morn""]","[""A"", ""ANN"", ""AR"", ""ARR"", ""ASS""]","[""MRN"", ""TLT""]"
"ā̆ien-","day(light), morning","[""ai\u032fos-""]","[""aaien"", ""aaien-"", ""\u0101\u0306ien"", ""\u0101\u0306ien-"", ""aiuo"", ""aiuos-"", ""ai\u032fo"", ""ai\u032fos-""]","[""daylight"", ""morn""]","[""A"", ""AN"", ""ANN"", ""ARR"", ""ASS""]","[""MRN"", ""TLT""]"
"ā̆ien-","day(light), morning","[""ai\u032fos-""]","[""aaien"", ""aaien-"", ""\u0101\u0306ien"", ""\u0101\u0306ien-"", ""aiuo"", ""aiuos-"", ""ai\u032fo"", ""ai\u032fos-""]","[""daylight"", ""morn""]","[""A"", ""AN"", ""ANN"", ""ARR"", ""ASS""]","[""MRN"", ""TLT""]"
"aig̑-","goat","[""\u0101\u0306g\u0311-""]","[""aig"", ""aig-"", ""aig\u0311"", ""aig\u0311-"", ""aag"", ""aag-"", ""\u0101\u0306g\u0311"", ""\u0101\u0306g\u0311-""]","[""goat""]","[""AK"", ""AKK""]","[""KT""]"
"aig̑-","goat","[""\u0101\u0306g\u0311-""]","[""aig"", ""aig-"", ""aig\u0311"", ""aig\u0311-"", ""aag"", ""aag-"", ""\u0101\u0306g\u0311"", ""\u0101\u0306g\u0311-""]","[""goat""]","[""AK"", ""AKK""]","[""KT""]"
"aig-","ill, sick; depressed, dispirited","[]","[""aig"", ""aig-""]","[""depress"", ""dispirit"", ""ill"", ""sick""]","[""AK"", ""AKK"", ""ANKK""]","[""AL"", ""SK"", ""TPRS"", ""TSPRT""]"
"aig-","ill, sick; depressed, dispirited","[]","[""aig"", ""aig-""]","[""depress"", ""dispirit"", ""ill"", ""sick""]","[""AK"", ""AKK"", ""ANKK""]","[""AL"", ""SK"", ""TPRS"", ""TSPRT""]"
"ing-","ill, sick; depressed, dispirited","[]","[""ing"", ""ing-""]","[""depress"", ""dispirit"", ""ill"", ""sick""]","[""AKK"", ""ANK"", ""ANKK""]","[""AL"", ""SK"", ""TPRS"", ""TSPRT""]"
"ing-","ill, sick; depressed, dispirited","[]","[""ing"", ""ing-""]","[""depress"", ""dispirit"", ""ill"", ""sick""]","[""AKK"", ""ANK"", ""ANKK""]","[""AL"", ""SK"", ""TPRS"", ""TSPRT""]"
"aig-","<b>oak</b>","[]","[""aig"", ""aig-""]","[""oak""]","[""AK"", ""AKK""]","[""AK""]"
"aig-","<b>oak</b>","[]","[""aig"", ""aig-""]","[""oak""]","[""AK"", ""AKK""]","[""AK""]"
"aig-","to swing, vibrate, move violently","[]","[""aig"", ""aig-""]","[""move"", ""swing"", ""to"", ""vibrat"", ""violent""]","[""AK"", ""AKK""]","[""FLNT"", ""FPRT"", ""MF"", ""SNK"", ""T"", ""XNK""]"
"aig-","to swing, vibrate, move violently","[]","[""aig"", ""aig-""]","[""move"", ""swing"", ""to"", ""vibrat"", ""violent""]","[""AK"", ""AKK""]","[""FLNT"", ""FPRT"", ""MF"", ""SNK"", ""T"", ""XNK""]"
"aigu̯h-","to be ashamed","[]","[""aiguuh"", ""aiguuh-"", ""aigu\u032fh"", ""aigu\u032fh-""]","[""asham"", ""be"", ""to""]","[""AK""]","[""AXM"", ""P"", ""T""]"
"aigu̯h-","to be ashamed","[]","[""aiguuh"", ""aiguuh-"", ""aigu\u032fh"", ""aigu\u032fh-""]","[""asham"", ""be"", ""to""]","[""AK""]","[""AXM"", ""P"", ""T""]"
"ā(i)g̑h-","to need, desire","[]","[""aigh"", ""aigh-"", ""\u0101ig\u0311h"", ""\u0101ig\u0311h-""]","[""desir"", ""need"", ""to""]","[""A"", ""AA"", ""AAKK""]","[""NT"", ""T"", ""TSR""]"
"āg̑h-","to need, desire","[]","[""agh"", ""agh-"", ""\u0101g\u0311h"", ""\u0101g\u0311h-""]","[""desir"", ""need"", ""to""]","[""A"", ""AA"", ""AAKK""]","[""NT"", ""T"", ""TSR""]"
"āig̑h-","to need, desire","[]","[""aigh"", ""aigh-"", ""\u0101ig\u0311h"", ""\u0101ig\u0311h-""]","[""desir"", ""need"", ""to""]","[""A"", ""AA"", ""AAKK""]","[""NT"", ""T"", ""TSR""]"
"īg̑h-","to need, desire","[]","[""igh"", ""igh-"", ""\u012bg\u0311h"", ""\u012bg\u0311h-""]","[""desir"", ""need"", ""to""]","[""A"", ""AA"", ""AAKK""]","[""NT"", ""T"", ""TSR""]"
"īg̑h-","to need, desire","[]","[""igh"", ""igh-"", ""\u012bg\u0311h"", ""\u012bg\u0311h-""]","[""desir"", ""need"", ""to""]","[""A"", ""AA"", ""AAKK""]","[""NT"", ""T"", ""TSR""]"
"ā̆ik̑-","pike, spear, spit","[]","[""aaik"", ""aaik-"", ""\u0101\u0306ik\u0311"", ""\u0101\u0306ik\u0311-""]","[""pike"", ""spear"", ""spit""]","[""AK"", ""AKK""]","[""PK"", ""SPR"", ""SPT""]"
"ā̆ik̑-","pike, spear, spit","[]","[""aaik"", ""aaik-"", ""\u0101\u0306ik\u0311"", ""\u0101\u0306ik\u0311-""]","[""pike"", ""spear"", ""spit""]","[""AK"", ""AKK""]","[""PK"", ""SPR"", ""SPT""]"
"ī̆k̑-","pike, spear, spit","[]","[""iak"", ""iak-"", ""\u012b\u0306k\u0311"", ""\u012b\u0306k\u0311-""]","[""pike"", ""spear"", ""spit""]","[""AK"", ""AKK""]","[""PK"", ""SPR"", ""SPT""]"
"ī̆k̑-","pike, spear, spit","[]","[""iak"", ""iak-"", ""\u012b\u0306k\u0311"", ""\u012b\u0306k\u0311-""]","[""pike"", ""spear"", ""spit""]","[""AK"", ""AKK""]","[""PK"", ""SPR"", ""SPT""]"
"aik-","to call to","[""ai""]","[""aik"", ""aik-"", ""ai""]","[""call"", ""to""]","[""A"", ""AK"", ""AKK""]","[""KL"", ""T""]"
