pcl,eng,see-also,pcl-keywords,eng-keywords,pcl-metaphone,eng-metaphone
*(t)leiko-,miserable,,"tleiko,tleiko-",miser,"TLK,TTLK","NJSR,NJSRPL,NKSR,NKSRPL"
*leiko-,miserable,,"leiko,leiko-",miser,LK,"NJSR,NJSRPL,NKSR,NKSRPL"
*tleiko-,miserable,,"tleiko,tleiko-",miser,TLK,"NJSR,NJSRPL,NKSR,NKSRPL"
*(t)lob-,disappear,,"tlob,tlob-",disappear,"TLP,TLPP,TTLPP",TSPR
*lob-,disappear,,"lob,lob-",disappear,"LP,LPP",TSPR
*tlob-,disappear,,"tlob,tlob-",disappear,"TLP,TLPP",TSPR
*(t)luxto-,"load, burden",,"tluxto,tluxto-","burden,load","TLKST,TTLKST","LT,LTT,PRTNK"
*luxto-,"load, burden",,"luxto,luxto-","burden,load",LKST,"LT,LTT,PRTNK"
*tluxto-,"load, burden",,"tluxto,tluxto-","burden,load",TLKST,"LT,LTT,PRTNK"
*(tu-)ande-φar(x)-ske/o-,greet,,"and,angd,anggd,skeo,tharx,tu,tu-ande-φarx-skeo-,tu-angde-tharx-skeo-,tu-anggde-tharx-skeo-,φarx",greet,"0RKS,ANKT,SK,T,TNKT0RKSKSSK,TNKT0RRKSKSKSSK,TNKTTRKSKSSK,TNKTTRRKSKSKSSK,TRKS",KRT
*ande-φar-ske/o-,greet,,"and,ande-φar-skeo-,angd,angde-thar-skeo-,anggd,anggde-thar-skeo-,skeo,thar,φar",greet,"0R,ANKT,ANKT0RRSK,ANKTTRRSK,NKT0RRSK,NKTTRRSK,SK,TR",KRT
*tu-ande-φar-ske/o-,greet,,"and,angd,anggd,skeo,thar,tu,tu-ande-φar-skeo-,tu-angde-thar-skeo-,tu-anggde-thar-skeo-,φar",greet,"0R,ANKT,SK,T,TNKT0RRSK,TNKTTRRSK,TR",KRT
